loan_id,customer_id,loan_type,loan_amount,outstanding_balance,interest_rate,term_months,delinquency_status,origination_date,monthly_payment,branch_id,source_system,created_at
LN0000028,CUST000301,MORTGAGE,190635.78,146118.83,11.16,120,CURRENT,2018-12-07,1837.19,BR005,LOAN_ORIGINATION_v2.1,2018-12-07 06:00:19
LN0000029,CUST003296,CREDIT_LINE,6837.67,4047.38,9.31,180,CURRENT,2020-02-06,38.43,BR021,LOAN_ORIGINATION_v2.1,2020-02-06 22:18:18
LN0000030,CUST003285,AUTO,30171.76,25772.79,11.52,360,30_DPD,2018-08-01,88.3,BR014,LOAN_ORIGINATION_v2.1,2018-08-01 02:44:36
LN0000031,CUST003253,CREDIT_LINE,22617.78,19232.16,20.12,12,CLOSED,2019-03-10,2009.54,BR024,LOAN_ORIGINATION_v2.1,2019-03-10 14:28:46
LN0000032,CUST000266,MORTGAGE,575471.18,118563.66,11.33,180,90_DPD,2020-11-29,4146.81,BR003,LOAN_ORIGINATION_v2.1,2020-11-29 10:57:21
LN0000033,CUST002238,MORTGAGE,209567.41,168153.88,13.34,360,CURRENT,2018-03-25,682.74,BR019,LOAN_ORIGINATION_v2.1,2018-03-25 11:07:11
LN0000034,CUST004449,MORTGAGE,201746.82,81985.33,11.85,36,CURRENT,2020-08-05,6579.75,BR024,LOAN_ORIGINATION_v2.1,2020-08-05 09:34:26
LN0000035,CUST002887,CREDIT_LINE,21948.81,18219.22,8.07,180,CURRENT,2020-11-02,123.63,BR007,LOAN_ORIGINATION_v2.1,2020-11-02 14:19:46
LN0000036,CUST001898,MORTGAGE,548974.56,460610.68,24.46,24,60_DPD,2020-04-14,25657.67,BR021,LOAN_ORIGINATION_v2.1,2020-04-14 17:19:14
LN0000037,CUST000775,MORTGAGE,385919.54,292931.72,15.02,120,CURRENT,2020-10-01,3871.73,BR015,LOAN_ORIGINATION_v2.1,2020-10-01 01:50:44
LN0000038,CUST001489,CREDIT_LINE,20166.18,16559.28,12.66,180,CURRENT,2018-03-27,121.19,BR013,LOAN_ORIGINATION_v2.1,2018-03-27 18:59:00
LN0000039,CUST001658,MORTGAGE,224558.17,198664.72,4.17,48,CURRENT,2020-01-15,5068.15,BR019,LOAN_ORIGINATION_v2.1,2020-01-15 10:52:08
LN0000040,CUST002068,MORTGAGE,531195.96,479438.06,9.6,60,CURRENT,2022-02-25,10015.74,BR022,LOAN_ORIGINATION_v2.1,2022-02-25 18:53:40
LN0000041,CUST002168,PERSONAL,41470.35,22948.06,18.6,48,CURRENT,2021-03-31,1090.75,BR012,LOAN_ORIGINATION_v2.1,2021-03-31 12:24:46
LN0000042,CUST001685,CREDIT_LINE,17842.89,13652.45,8.98,12,CURRENT,2020-07-24,1710.65,BR014,LOAN_ORIGINATION_v2.1,2020-07-24 07:58:23
LN0000043,CUST002786,MORTGAGE,157605.18,59392.81,9.39,180,CURRENT,2022-08-03,970.55,BR008,LOAN_ORIGINATION_v2.1,2022-08-03 06:42:04
LN0000044,CUST004269,PERSONAL,13283.93,7312.97,7.22,360,CURRENT,2023-02-21,39.76,BR019,LOAN_ORIGINATION_v2.1,2023-02-21 16:30:00
LN0000045,CUST002271,MORTGAGE,409156.31,303750.03,15.88,48,CURRENT,2019-02-28,10572.44,BR006,LOAN_ORIGINATION_v2.1,2019-02-28 15:12:50
LN0000046,CUST004738,MORTGAGE,372857.2,191992.89,21.17,12,CURRENT,2018-03-15,40111.72,BR022,LOAN_ORIGINATION_v2.1,2018-03-15 23:25:58
LN0000047,CUST004608,PERSONAL,15183.95,5051.86,20.27,360,CURRENT,2020-04-28,53.86,BR016,LOAN_ORIGINATION_v2.1,2020-04-28 12:08:15
LN0000048,CUST000751,MORTGAGE,511624.82,389182.45,13.49,24,CURRENT,2020-04-06,23815.63,BR010,LOAN_ORIGINATION_v2.1,2020-04-06 04:19:33
LN0000049,CUST000922,MORTGAGE,364989.26,329493.61,12.14,24,30_DPD,2019-12-18,16622.75,BR015,LOAN_ORIGINATION_v2.1,2019-12-18 16:14:38
LN0000050,CUST004267,PERSONAL,25085.96,23555.52,21.04,120,CURRENT,2021-10-30,233.19,BR009,LOAN_ORIGINATION_v2.1,2021-10-30 11:20:43
LN0000051,CUST002534,AUTO,30460.79,6492.72,14.25,84,30_DPD,2022-10-13,399.84,BR021,LOAN_ORIGINATION_v2.1,2022-10-13 12:06:18
LN0000052,CUST003548,MORTGAGE,306610.97,286348.95,5.02,84,CURRENT,2020-10-20,3964.97,BR020,LOAN_ORIGINATION_v2.1,2020-10-20 19:42:24
LN0000053,CUST002880,AUTO,36221.15,19963.33,24.91,360,CURRENT,2019-02-22,109.64,BR009,LOAN_ORIGINATION_v2.1,2019-02-22 10:35:33
LN0000054,CUST000804,MORTGAGE,82572.38,35145.6,4.37,360,90_DPD,2018-08-28,241.08,BR018,LOAN_ORIGINATION_v2.1,2018-08-28 05:54:28
LN0000055,CUST001262,AUTO,46728.0,37691.27,9.42,120,CURRENT,2022-06-23,482.9,BR005,LOAN_ORIGINATION_v2.1,2022-06-23 19:18:41
LN0000056,CUST004985,MORTGAGE,527636.99,330163.9,8.78,48,30_DPD,2021-09-03,11281.71,BR008,LOAN_ORIGINATION_v2.1,2021-09-03 12:46:00
LN0000057,CUST001486,MORTGAGE,126260.25,40104.42,3.93,48,CURRENT,2019-08-14,3357.82,BR017,LOAN_ORIGINATION_v2.1,2019-08-14 01:20:54
LN0000058,CUST000970,MORTGAGE,91155.16,50280.34,10.45,60,CURRENT,2021-01-03,1665.0,BR005,LOAN_ORIGINATION_v2.1,2021-01-03 17:26:22
LN0000059,CUST000239,PERSONAL,18418.48,3571.49,5.11,120,CURRENT,2022-11-05,181.51,BR009,LOAN_ORIGINATION_v2.1,2022-11-05 09:58:50
LN0000060,CUST003186,MORTGAGE,447905.89,172731.82,23.65,48,CLOSED,2022-06-14,11794.0,BR007,LOAN_ORIGINATION_v2.1,2022-06-14 18:46:03
LN0000061,CUST001926,PERSONAL,23357.55,9234.66,24.32,48,CLOSED,2018-10-04,620.03,BR014,LOAN_ORIGINATION_v2.1,2018-10-04 11:44:43
LN0000062,CUST003832,CREDIT_LINE,6562.35,4861.67,15.86,360,CURRENT,2019-09-24,22.3,BR014,LOAN_ORIGINATION_v2.1,2019-09-24 17:39:38
LN0000063,CUST004566,PERSONAL,4346.3,1713.83,18.17,36,90_DPD,2022-07-17,145.81,BR020,LOAN_ORIGINATION_v2.1,2022-07-17 17:19:27
LN0000064,CUST000724,PERSONAL,29574.56,6388.64,22.0,120,CLOSED,2018-12-11,269.12,BR016,LOAN_ORIGINATION_v2.1,2018-12-11 08:52:32
LN0000065,CUST003882,AUTO,62091.74,28189.71,22.53,48,CLOSED,2023-01-14,1403.77,BR014,LOAN_ORIGINATION_v2.1,2023-01-14 00:05:45
LN0000066,CUST000156,AUTO,28627.59,27754.2,13.33,180,CURRENT,2018-12-30,185.98,BR020,LOAN_ORIGINATION_v2.1,2018-12-30 06:22:56
LN0000067,CUST002515,CREDIT_LINE,1690.99,1165.91,23.5,36,60_DPD,2018-01-13,58.43,BR020,LOAN_ORIGINATION_v2.1,2018-01-13 04:38:22
LN0000068,CUST004581,PERSONAL,34304.09,29860.18,19.43,84,60_DPD,2023-04-11,510.89,BR007,LOAN_ORIGINATION_v2.1,2023-04-11 17:47:26
LN0000069,CUST001848,AUTO,45643.3,42155.98,6.17,24,60_DPD,2019-05-09,2110.24,BR003,LOAN_ORIGINATION_v2.1,2019-05-09 12:22:28
LN0000070,CUST003083,AUTO,44132.96,11226.09,10.05,120,CLOSED,2020-12-29,397.64,BR023,LOAN_ORIGINATION_v2.1,2020-12-29 03:18:27
LN0000071,CUST004961,MORTGAGE,98538.68,47546.94,8.16,84,30_DPD,2021-04-28,1384.81,BR022,LOAN_ORIGINATION_v2.1,2021-04-28 19:39:55
LN0000072,CUST004334,AUTO,37749.65,28637.41,11.74,48,CURRENT,2020-06-13,945.38,BR003,LOAN_ORIGINATION_v2.1,2020-06-13 15:01:22
LN0000073,CUST000777,CREDIT_LINE,855.09,327.06,23.8,180,CURRENT,2018-06-16,5.5,BR010,LOAN_ORIGINATION_v2.1,2018-06-16 16:45:03
LN0000074,CUST000682,MORTGAGE,222300.3,50468.61,9.58,12,CURRENT,2019-05-11,22709.96,BR012,LOAN_ORIGINATION_v2.1,2019-05-11 22:30:00
LN0000075,CUST003366,MORTGAGE,225610.32,172310.14,8.8,48,CURRENT,2018-02-14,4776.51,BR019,LOAN_ORIGINATION_v2.1,2018-02-14 23:54:19
LN0000076,CUST002770,PERSONAL,44216.57,5394.38,9.19,180,CURRENT,2023-03-05,314.03,BR007,LOAN_ORIGINATION_v2.1,2023-03-05 07:19:40
LN0000077,CUST004747,MORTGAGE,551795.32,295649.08,17.88,180,CURRENT,2018-02-07,3688.76,BR023,LOAN_ORIGINATION_v2.1,2018-02-07 08:37:18
LN0000078,CUST002865,PERSONAL,46996.43,24778.57,17.32,180,CURRENT,2019-02-06,288.87,BR009,LOAN_ORIGINATION_v2.1,2019-02-06 11:14:26
LN0000079,CUST002961,AUTO,11697.68,4927.89,23.85,180,CURRENT,2019-01-31,71.03,BR004,LOAN_ORIGINATION_v2.1,2019-01-31 10:13:18
LN0000080,CUST004526,MORTGAGE,567556.89,264287.38,5.77,120,90_DPD,2019-07-13,5080.2,BR007,LOAN_ORIGINATION_v2.1,2019-07-13 09:13:41
LN0000081,CUST003050,PERSONAL,29277.94,7650.59,18.71,60,60_DPD,2019-02-01,628.75,BR012,LOAN_ORIGINATION_v2.1,2019-02-01 05:50:17
LN0000082,CUST004692,MORTGAGE,413667.53,350564.97,8.28,60,CURRENT,2019-10-08,6998.99,BR006,LOAN_ORIGINATION_v2.1,2019-10-08 06:47:37
LN0000083,CUST002114,AUTO,56716.64,31410.92,22.66,84,30_DPD,2022-08-04,771.04,BR007,LOAN_ORIGINATION_v2.1,2022-08-04 11:03:01
LN0000084,CUST001368,PERSONAL,41779.44,26852.44,16.47,36,CURRENT,2018-08-06,1317.19,BR004,LOAN_ORIGINATION_v2.1,2018-08-06 01:56:31
LN0000085,CUST000601,PERSONAL,6372.47,4075.25,15.69,84,30_DPD,2021-10-04,83.03,BR022,LOAN_ORIGINATION_v2.1,2021-10-04 00:24:28
LN0000086,CUST002022,CREDIT_LINE,23748.91,19255.46,5.42,24,CLOSED,2019-07-16,1045.04,BR006,LOAN_ORIGINATION_v2.1,2019-07-16 14:25:19
LN0000087,CUST004094,MORTGAGE,561592.28,358428.41,4.49,84,CURRENT,2021-05-01,8358.69,BR007,LOAN_ORIGINATION_v2.1,2021-05-01 15:32:08
LN0000088,CUST004701,AUTO,57963.48,20930.11,8.02,60,CURRENT,2021-05-03,1191.58,BR014,LOAN_ORIGINATION_v2.1,2021-05-03 19:42:30
LN0000089,CUST001617,AUTO,22414.31,14981.42,13.46,12,CURRENT,2019-05-01,2383.3,BR015,LOAN_ORIGINATION_v2.1,2019-05-01 15:19:39
LN0000090,CUST000856,AUTO,36512.88,18827.28,4.51,36,CURRENT,2020-09-18,1288.84,BR015,LOAN_ORIGINATION_v2.1,2020-09-18 12:48:42
LN0000091,CUST001709,CREDIT_LINE,8330.39,1255.73,23.18,24,CURRENT,2022-02-07,425.26,BR007,LOAN_ORIGINATION_v2.1,2022-02-07 18:37:56
LN0000092,CUST003360,MORTGAGE,102670.93,71771.22,8.05,12,CLOSED,2018-05-15,9434.02,BR024,LOAN_ORIGINATION_v2.1,2018-05-15 19:12:13
LN0000093,CUST001585,CREDIT_LINE,16312.02,14619.45,9.6,180,CURRENT,2022-01-18,101.86,BR016,LOAN_ORIGINATION_v2.1,2022-01-18 09:31:32
LN0000094,CUST003227,MORTGAGE,422196.44,133919.15,9.39,12,CURRENT,2021-12-08,37469.21,BR006,LOAN_ORIGINATION_v2.1,2021-12-08 00:04:30
LN0000095,CUST002757,PERSONAL,41182.22,35832.8,14.85,120,CLOSED,2021-01-03,422.59,BR011,LOAN_ORIGINATION_v2.1,2021-01-03 22:18:34
LN0000096,CUST004721,MORTGAGE,293625.65,61361.51,10.22,84,CURRENT,2019-09-16,4515.75,BR025,LOAN_ORIGINATION_v2.1,2019-09-16 12:58:47
LN0000097,CUST004068,MORTGAGE,594454.24,480822.66,21.62,24,CURRENT,2021-02-12,28996.1,BR013,LOAN_ORIGINATION_v2.1,2021-02-12 12:33:35
LN0000098,CUST001453,AUTO,54569.73,21527.1,12.35,120,CURRENT,2021-01-26,581.43,BR025,LOAN_ORIGINATION_v2.1,2021-01-26 08:56:35
LN0000099,CUST004005,CREDIT_LINE,6102.32,4696.1,6.8,180,CURRENT,2019-11-12,37.92,BR009,LOAN_ORIGINATION_v2.1,2019-11-12 04:26:52
LN0000100,CUST003275,AUTO,44333.37,26935.11,7.45,12,90_DPD,2018-10-02,4055.84,BR024,LOAN_ORIGINATION_v2.1,2018-10-02 06:18:49
LN0000101,CUST003779,MORTGAGE,263625.81,225468.91,7.75,84,CURRENT,2023-01-01,3354.81,BR013,LOAN_ORIGINATION_v2.1,2023-01-01 11:01:20
LN0000102,CUST003504,AUTO,23561.9,22198.66,10.09,36,CURRENT,2020-06-03,776.0,BR016,LOAN_ORIGINATION_v2.1,2020-06-03 15:46:02
LN0000103,CUST004258,MORTGAGE,120288.77,31400.67,15.53,36,CURRENT,2022-02-21,3962.78,BR007,LOAN_ORIGINATION_v2.1,2022-02-21 02:13:15
LN0000104,CUST004034,AUTO,51160.93,33024.37,7.07,48,CURRENT,2020-08-25,1076.38,BR023,LOAN_ORIGINATION_v2.1,2020-08-25 11:27:31
LN0000105,CUST003902,CREDIT_LINE,16842.68,15293.03,15.47,120,CURRENT,2020-08-07,174.26,BR022,LOAN_ORIGINATION_v2.1,2020-08-07 12:04:51
LN0000106,CUST003999,PERSONAL,29990.74,19287.39,23.3,48,CURRENT,2020-10-17,799.85,BR022,LOAN_ORIGINATION_v2.1,2020-10-17 08:52:47
LN0000107,CUST003000,CREDIT_LINE,7704.42,3945.56,16.9,120,CURRENT,2022-03-30,83.02,BR017,LOAN_ORIGINATION_v2.1,2022-03-30 19:15:38
LN0000108,CUST004653,MORTGAGE,237793.1,104523.67,10.13,120,CURRENT,2021-08-31,2238.09,BR022,LOAN_ORIGINATION_v2.1,2021-08-31 21:20:06
LN0000109,CUST001718,PERSONAL,34320.36,9929.75,12.28,60,CURRENT,2022-10-22,689.09,BR012,LOAN_ORIGINATION_v2.1,2022-10-22 14:29:18
LN0000110,CUST002957,CREDIT_LINE,901.8,560.34,10.68,84,CURRENT,2020-10-12,11.27,BR016,LOAN_ORIGINATION_v2.1,2020-10-12 21:20:26
LN0000111,CUST004580,PERSONAL,19473.18,5640.28,23.12,36,CURRENT,2022-10-24,613.61,BR006,LOAN_ORIGINATION_v2.1,2022-10-24 03:36:55
LN0000112,CUST003483,AUTO,44024.41,40926.44,21.12,120,CURRENT,2020-08-03,385.1,BR002,LOAN_ORIGINATION_v2.1,2020-08-03 00:34:15
LN0000113,CUST000590,PERSONAL,14253.61,11443.68,18.11,48,CURRENT,2019-07-04,319.35,BR014,LOAN_ORIGINATION_v2.1,2019-07-04 09:49:41
LN0000114,CUST001710,AUTO,14005.24,13215.44,9.91,24,30_DPD,2021-01-03,651.19,BR018,LOAN_ORIGINATION_v2.1,2021-01-03 02:15:03
LN0000115,CUST002529,MORTGAGE,276782.77,69728.7,20.99,120,CURRENT,2022-05-14,2817.76,BR017,LOAN_ORIGINATION_v2.1,2022-05-14 11:06:33
LN0000116,CUST000732,PERSONAL,47830.72,16485.11,8.88,36,90_DPD,2023-03-30,1430.2,BR001,LOAN_ORIGINATION_v2.1,2023-03-30 01:48:05
LN0000117,CUST003978,PERSONAL,34328.86,6009.14,24.07,84,CURRENT,2023-04-19,448.4,BR003,LOAN_ORIGINATION_v2.1,2023-04-19 16:08:11
LN0000118,CUST002105,MORTGAGE,235841.75,230538.9,8.4,360,CURRENT,2018-05-27,825.87,BR018,LOAN_ORIGINATION_v2.1,2018-05-27 04:18:00
LN0000119,CUST004880,MORTGAGE,94382.84,32191.12,12.54,48,CURRENT,2021-05-12,2046.07,BR007,LOAN_ORIGINATION_v2.1,2021-05-12 08:28:07
LN0000120,CUST000598,AUTO,36148.59,29871.3,5.46,360,CURRENT,2020-02-09,105.16,BR001,LOAN_ORIGINATION_v2.1,2020-02-09 14:01:13
LN0000121,CUST004791,MORTGAGE,191831.87,50325.65,3.63,84,CURRENT,2022-04-07,2681.04,BR012,LOAN_ORIGINATION_v2.1,2022-04-07 02:15:28
LN0000122,CUST002835,MORTGAGE,118062.01,98265.35,11.99,48,30_DPD,2019-08-29,2619.64,BR003,LOAN_ORIGINATION_v2.1,2019-08-29 08:52:28
LN0000123,CUST001803,MORTGAGE,82532.76,14162.17,13.92,36,CURRENT,2022-09-16,2376.62,BR020,LOAN_ORIGINATION_v2.1,2022-09-16 02:01:18
LN0000124,CUST004550,CREDIT_LINE,12355.71,3269.81,10.97,24,CURRENT,2018-04-19,645.82,BR008,LOAN_ORIGINATION_v2.1,2018-04-19 15:07:42
LN0000125,CUST000193,MORTGAGE,482107.3,221271.67,15.86,84,CURRENT,2022-02-18,5752.81,BR001,LOAN_ORIGINATION_v2.1,2022-02-18 19:38:36
LN0000126,CUST004487,PERSONAL,33151.76,14540.24,10.87,180,CLOSED,2018-09-04,195.92,BR025,LOAN_ORIGINATION_v2.1,2018-09-04 00:16:23
LN0000127,CUST004460,MORTGAGE,232893.47,73271.12,24.8,360,30_DPD,2020-08-17,745.97,BR025,LOAN_ORIGINATION_v2.1,2020-08-17 17:48:26
LN0000128,CUST002440,AUTO,29244.93,10417.35,14.09,84,CURRENT,2018-08-14,360.19,BR015,LOAN_ORIGINATION_v2.1,2018-08-14 23:10:46
LN0000129,CUST001468,CREDIT_LINE,1935.27,212.33,13.87,180,CURRENT,2022-09-13,11.35,BR002,LOAN_ORIGINATION_v2.1,2022-09-13 09:37:31
LN0000130,CUST003542,PERSONAL,3608.21,2493.67,19.25,48,CURRENT,2023-04-21,94.59,BR018,LOAN_ORIGINATION_v2.1,2023-04-21 08:29:01
LN0000131,CUST004026,CREDIT_LINE,5451.58,1422.04,7.9,24,CURRENT,2023-05-03,272.54,BR001,LOAN_ORIGINATION_v2.1,2023-05-03 07:55:31
LN0000132,CUST001068,MORTGAGE,527782.93,178796.37,5.13,36,CURRENT,2019-10-30,17665.66,BR025,LOAN_ORIGINATION_v2.1,2019-10-30 00:49:03
LN0000133,CUST001573,AUTO,48549.73,20626.42,17.59,36,CURRENT,2021-04-09,1414.97,BR008,LOAN_ORIGINATION_v2.1,2021-04-09 05:28:53
LN0000134,CUST001643,MORTGAGE,307059.54,231213.37,7.06,84,CLOSED,2022-10-19,4472.59,BR006,LOAN_ORIGINATION_v2.1,2022-10-19 06:51:05
LN0000135,CUST000107,CREDIT_LINE,12605.63,9761.42,5.29,24,CURRENT,2018-03-24,542.7,BR014,LOAN_ORIGINATION_v2.1,2018-03-24 13:22:33
LN0000136,CUST004015,CREDIT_LINE,11972.89,9137.34,23.98,120,CURRENT,2022-07-27,109.35,BR011,LOAN_ORIGINATION_v2.1,2022-07-27 10:56:05
LN0000137,CUST003327,MORTGAGE,286428.02,140085.99,8.53,36,CURRENT,2020-03-08,8364.77,BR020,LOAN_ORIGINATION_v2.1,2020-03-08 04:42:14
LN0000138,CUST000942,AUTO,12769.15,8640.18,4.0,48,CLOSED,2020-11-16,266.98,BR007,LOAN_ORIGINATION_v2.1,2020-11-16 03:45:09
LN0000139,CUST002977,MORTGAGE,351391.06,245365.5,4.09,12,CURRENT,2018-08-19,32091.34,BR017,LOAN_ORIGINATION_v2.1,2018-08-19 17:13:08
LN0000140,CUST000226,MORTGAGE,246353.21,116173.87,14.02,60,CURRENT,2022-08-29,5068.72,BR017,LOAN_ORIGINATION_v2.1,2022-08-29 19:05:24
LN0000141,CUST000272,MORTGAGE,315083.81,239606.4,15.52,12,30_DPD,2022-03-10,34104.06,BR021,LOAN_ORIGINATION_v2.1,2022-03-10 00:25:50
LN0000142,CUST000770,AUTO,23538.3,9551.09,14.46,12,CURRENT,2020-07-02,2383.97,BR001,LOAN_ORIGINATION_v2.1,2020-07-02 18:49:56
LN0000143,CUST000615,MORTGAGE,549440.4,279723.5,16.29,36,CURRENT,2021-10-04,19519.7,BR005,LOAN_ORIGINATION_v2.1,2021-10-04 19:54:52
LN0000144,CUST000672,AUTO,40188.35,36852.61,6.3,360,CURRENT,2019-01-02,114.65,BR006,LOAN_ORIGINATION_v2.1,2019-01-02 00:09:56
LN0000145,CUST001835,MORTGAGE,180504.31,163510.2,21.76,120,CURRENT,2018-03-28,1537.14,BR020,LOAN_ORIGINATION_v2.1,2018-03-28 00:35:45
LN0000146,CUST000871,AUTO,28740.97,3946.47,10.27,60,CURRENT,2019-07-10,546.42,BR023,LOAN_ORIGINATION_v2.1,2019-07-10 10:04:07
LN0000147,CUST002739,PERSONAL,42937.19,32078.96,13.4,24,CURRENT,2022-01-14,1934.78,BR012,LOAN_ORIGINATION_v2.1,2022-01-14 14:07:56
LN0000148,CUST002523,CREDIT_LINE,21516.28,19819.15,15.45,120,CLOSED,2022-10-27,213.23,BR003,LOAN_ORIGINATION_v2.1,2022-10-27 19:13:19
LN0000149,CUST004307,MORTGAGE,576769.82,290142.84,17.69,12,CURRENT,2020-03-02,57216.33,BR018,LOAN_ORIGINATION_v2.1,2020-03-02 01:34:36
LN0000150,CUST000002,PERSONAL,47061.65,9808.74,4.84,360,CURRENT,2022-08-13,169.82,BR009,LOAN_ORIGINATION_v2.1,2022-08-13 04:55:33
LN0000151,CUST002522,PERSONAL,17428.14,14224.07,12.14,180,CURRENT,2021-06-18,123.03,BR019,LOAN_ORIGINATION_v2.1,2021-06-18 02:45:08
LN0000152,CUST002319,CREDIT_LINE,3666.53,2801.28,5.57,120,CURRENT,2022-10-20,31.96,BR004,LOAN_ORIGINATION_v2.1,2022-10-20 19:44:57
LN0000153,CUST001503,AUTO,25466.15,22486.65,13.53,180,30_DPD,2018-08-22,146.95,BR005,LOAN_ORIGINATION_v2.1,2018-08-22 07:58:02
LN0000154,CUST001629,PERSONAL,28200.82,27115.85,10.06,84,CURRENT,2020-02-21,352.06,BR015,LOAN_ORIGINATION_v2.1,2020-02-21 15:21:18
LN0000155,CUST003381,PERSONAL,16807.17,2578.0,23.22,36,CURRENT,2019-08-13,557.11,BR006,LOAN_ORIGINATION_v2.1,2019-08-13 01:20:32
LN0000156,CUST002058,AUTO,37875.66,30507.19,11.25,180,CURRENT,2022-09-23,221.45,BR015,LOAN_ORIGINATION_v2.1,2022-09-23 06:41:07
LN0000157,CUST004092,CREDIT_LINE,15675.28,10435.95,10.79,48,CURRENT,2019-08-14,393.63,BR001,LOAN_ORIGINATION_v2.1,2019-08-14 20:25:49
